word,level
cat,easy
hat,easy
bat,easy
mat,easy
rat,easy
sat,easy
pat,easy
fat,easy
dog,easy
log,easy
fog,easy
jog,easy
hog,easy
cog,easy
pen,easy
ten,easy
hen,easy
men,easy
den,easy
pin,easy
win,easy
bin,easy
tin,easy
fin,easy
sin,easy
cup,easy
pup,easy
cut,easy
nut,easy
but,easy
hut,easy
bed,easy
red,easy
led,easy
fed,easy
wed,easy
bag,easy
tag,easy
rag,easy
wag,easy
nag,easy
map,easy
cap,easy
lap,easy
nap,easy
tap,easy
gap,easy
pot,easy
hot,easy
dot,easy
cot,easy
lot,easy
not,easy
sun,easy
run,easy
fun,easy
bun,easy
gun,easy
big,easy
dig,easy
fig,easy
pig,easy
wig,easy
box,easy
fox,easy
mix,easy
six,easy
fix,easy
bus,easy
bud,easy
mud,easy
cub,easy
rub,easy
tub,easy
sit,easy
hit,easy
fit,easy
bit,easy
kit,easy
job,easy
rob,easy
mob,easy
sob,easy
van,easy
fan,easy
can,easy
man,easy
pan,easy
ran,easy
web,easy
wet,easy
net,easy
get,easy
jet,easy
let,easy
set,easy
pet,easy
black,medium
block,medium
clock,medium
clap,medium
crab,medium
crib,medium
drum,medium
drop,medium
flag,medium
flat,medium
frog,medium
from,medium
glad,medium
glass,medium
grab,medium
green,medium
plan,medium
plus,medium
slam,medium
sled,medium
slip,medium
spin,medium
spot,medium
stop,medium
stem,medium
step,medium
swim,medium
trap,medium
trip,medium
trick,medium
brush,medium
chair,medium
cheese,medium
chest,medium
chin,medium
chop,medium
clean,medium
cloud,medium
crown,medium
dream,medium
dress,medium
drink,medium
fresh,medium
friend,medium
front,medium
ground,medium
grass,medium
plant,medium
plate,medium
pond,medium
porch,medium
print,medium
proud,medium
shell,medium
shine,medium
ship,medium
shop,medium
short,medium
shout,medium
skate,medium
sleep,medium
small,medium
smile,medium
snake,medium
snow,medium
speak,medium
spell,medium
spoon,medium
stand,medium
start,medium
stone,medium
storm,medium
street,medium
strong,medium
sweet,medium
swing,medium
table,medium
teeth,medium
thank,medium
think,medium
third,medium
thumb,medium
train,medium
tree,medium
truck,medium
trust,medium
twist,medium
watch,medium
wheel,medium
where,medium
which,medium
white,medium
about,hard
again,hard
animal,hard
answer,hard
because,hard
before,hard
below,hard
beside,hard
between,hard
bicycle,hard
birthday,hard
bottle,hard
brother,hard
butter,hard
carry,hard
castle,hard
center,hard
children,hard
circle,hard
closet,hard
colour,hard
common,hard
computer,hard
cousin,hard
cover,hard
daughter,hard
december,hard
different,hard
difficult,hard
dinner,hard
doctor,hard
early,hard
earth,hard
eight,hard
enough,hard
every,hard
family,hard
favourite,hard
finger,hard
flower,hard
forest,hard
forward,hard
friendly,hard
garden,hard
gather,hard
grandmother,hard
happen,hard
heavy,hard
history,hard
holiday,hard
hospital,hard
hundred,hard
important,hard
instead,hard
island,hard
kitchen,hard
ladder,hard
language,hard
laughter,hard
letter,hard
library,hard
listen,hard
machine,hard
market,hard
measure,hard
minute,hard
mirror,hard
mountain,hard
movement,hard
mystery,hard
neighbour,hard
number,hard
ocean,hard
orange,hard
other,hard
paper,hard
parent,hard
people,hard
perhaps,hard
picture,hard
pocket,hard
practice,hard
present,hard
question,hard
quiet,hard
rather,hard
reason,hard
remember,hard
river,hard
sandwich,hard
school,hard
season,hard
second,hard
sentence,hard
shoulder,hard
silver,hard
simple,hard
sister,hard
something,hard
sometimes,hard
special,hard
station,hard
stomach,hard
straight,hard
stranger,hard
student,hard
subject,hard
sudden,hard
summer,hard
teacher,hard
telephone,hard
thousand,hard
together,hard
tomorrow,hard
travel,hard
trouble,hard
umbrella,hard
uncle,hard
under,hard
until,hard
village,hard
visitor,hard
voice,hard
water,hard
weather,hard
welcome,hard
window,hard
winter,hard
without,hard
wonder,hard
worry,hard
writing,hard
yellow,hard
yesterday,hard
