sentence,level
The cat sat on the mat.,easy
A big dog ran fast.,easy
I can see the sun.,easy
The pig is in the mud.,easy
My hat is red.,easy
The bus is full.,easy
A fox ran to the box.,easy
He had a pet hen.,easy
She has ten pens.,easy
The cup is hot.,easy
We sit on the bed.,easy
The man has a van.,easy
A bat can fly.,easy
The net is wet.,easy
My dad is glad.,easy
The frog is on a log.,easy
I like to run.,easy
The kid has a kit.,easy
A bug is on the rug.,easy
The top can spin.,easy
We had fun in the sun.,easy
The jet is fast.,easy
His leg is big.,easy
A rat ran up.,easy
The pot is not hot.,easy
I get a big hug.,easy
She can hop and skip.,easy
The map is on my lap.,easy
A duck is in the pond.,easy
The doll is in the box.,easy
The green frog jumped into the pond.,medium
My brother found a small shell on the beach.,medium
She wrote her name on the white paper.,medium
The train stopped at the busy station.,medium
We climbed the steep hill before lunch.,medium
A brown horse stood near the fence.,medium
The children played outside until dark.,medium
He spilled his drink on the clean floor.,medium
My friend brought a plate of fresh fruit.,medium
The storm broke a branch off the tree.,medium
She keeps her books under the wooden bed.,medium
The teacher smiled at the whole class.,medium
We planted seeds in the school garden.,medium
A bright star appeared above the trees.,medium
He forgot to close the kitchen window.,medium
The puppy chased its tail in circles.,medium
Please put the dishes back on the shelf.,medium
The river ran fast after the rain.,medium
She painted the fence a pale blue.,medium
My sister sleeps with the light on.,medium
The crowd cheered when the game ended.,medium
A thin crack ran across the glass.,medium
He kept the letter inside his pocket.,medium
The birds left before the winter came.,medium
We watched the boat drift out to sea.,medium
Her shoes were covered in thick mud.,medium
The bread smelled warm and sweet.,medium
He drew a circle around the right answer.,medium
The clock on the wall stopped at noon.,medium
She swept the leaves off the front step.,medium
The librarian remembered exactly where the atlas belonged.,hard
Although it rained all morning, the celebration continued outside.,hard
My grandmother described the village she grew up in.,hard
The scientist measured the temperature every fifteen minutes.,hard
Nobody expected the announcement to arrive so suddenly.,hard
She balanced carefully while crossing the narrow wooden bridge.,hard
The photographs were arranged in chronological order.,hard
His explanation was complicated, but everyone eventually understood.,hard
The mountains disappeared behind an enormous grey cloud.,hard
They discovered an unusual pattern in the ancient carvings.,hard
The hospital corridor smelled faintly of disinfectant.,hard
Her handwriting became neater throughout the school year.,hard
The committee postponed its decision until the following month.,hard
An unfamiliar melody drifted through the open window.,hard
He apologised immediately after realising his mistake.,hard
The newspaper published a correction the very next morning.,hard
Several passengers missed the connection because of the delay.,hard
The instructions specifically warned against using metal tools.,hard
She recognised the handwriting on the envelope instantly.,hard
Their conversation continued long after the restaurant closed.,hard
The experiment produced results nobody could easily explain.,hard
A magnificent castle overlooked the surrounding countryside.,hard
The audience applauded enthusiastically at the performance.,hard
He struggled to remember the sequence of the instructions.,hard
The documentary described how volcanoes gradually form islands.,hard
Everyone agreed the arrangement was thoroughly satisfactory.,hard
She underlined the important sentences in the paragraph.,hard
The mechanic explained the problem in unnecessary detail.,hard
Unfortunately, the original photograph was damaged beyond repair.,hard
The translation captured the meaning but lost the rhythm.,hard
